"Mark","Company","Symbol","Category","LTP","Change %","5 Days %","10 Days %","15 Days %","20 Days %","1 Month %","2 Month %","3 Month %","Week 52 Low %","Week 52 High %",
"Yes","Jet Airways (India) Ltd.","JETAIRWAYS","SERVICES","530.80","1.18%","0.86%","0.67%","0.93%","0.94%","6.05%","21.45%","40.53%","59.59%","(20.76)%",
"Yes","HCL Technologies Ltd.","HCLTECH","IT","828.00","1.22%","0.85%","0.43%","0.19%","0.09%","(2.56)%","(3.27)%","1.67%","17.21%","(6.98)%",
"No","South Indian Bank Ltd.","SOUTHBANK","BANK","25.30","(2.50)%","0.85%","1.08%","2.49%","1.69%","16.86%","22.52%","9.05%","58.13%","(5.07)%",
"No","TTK Prestige Ltd.","TTKPRESTIG","CONSUMER GOODS","6,470.10","(0.95)%","0.83%","(0.86)%","(0.58)%","0.26%","3.09%","14.01%","14.72%","50.47%","(7.36)%",
"Yes","Hero MotoCorp Ltd.","HEROMOTOCO","AUTOMOBILE","3,361.25","(1.01)%","0.82%","0.65%","0.99%","0.46%","4.55%","1.99%","3.30%","19.18%","(10.13)%",
"No","Dredging Corporation of India Ltd.","DREDGECORP","SERVICES","638.00","(2.31)%","0.81%","(1.14)%","(0.86)%","(0.53)%","(5.34)%","28.80%","37.50%","81.46%","(11.39)%",
"Yes","Tata Consultancy Services Ltd.","TCS","IT","2,323.00","(0.30)%","0.81%","(0.06)%","0.00%","(0.35)%","(4.48)%","(7.27)%","3.43%","13.21%","(15.37)%",
"Yes","Coal India Ltd.","COALINDIA","METALS","278.65","(0.57)%","0.80%","(0.04)%","(0.17)%","(0.58)%","(2.14)%","(13.72)%","(12.24)%","2.29%","(20.37)%",
"Yes","Exide Industries Ltd.","EXIDEIND","AUTOMOBILE","240.80","1.78%","0.79%","(0.34)%","(0.42)%","0.35%","6.93%","12.50%","15.66%","73.55%","(1.37)%",
"No","Quess Corp Ltd.","QUESS","SERVICES","808.85","0.61%","0.79%","0.31%","1.14%","0.86%","12.34%","26.29%","19.12%","78.75%","(1.72)%",
"No","Rashtriya Chemicals & Fertilizers Ltd.","RCF","FERTILISERS & PESTICIDES","86.25","(1.93)%","0.77%","0.13%","0.29%","0.27%","3.92%","56.25%","40.24%","112.44%","(3.52)%",
"Yes","United Spirits Ltd.","MCDOWELL-N","CONSUMER GOODS","1,898.00","(1.45)%","0.77%","(0.15)%","0.12%","0.06%","(6.28)%","(16.31)%","(16.80)%","7.02%","(30.45)%",
"Yes","Piramal Enterprises Ltd.","PEL","PHARMA","2,500.55","(2.45)%","0.76%","0.95%","2.30%","2.31%","30.30%","32.23%","42.89%","113.50%","(4.96)%",
"Yes","Power Grid Corporation of India Ltd.","POWERGRID","ENERGY","208.50","(1.02)%","0.73%","0.31%","(0.14)%","0.77%","7.09%","7.31%","4.33%","49.46%","(2.48)%",
"No","IIFL Holdings Ltd.","IIFL","FINANCIAL SERVICES","489.00","(0.76)%","0.73%","(0.03)%","1.21%","1.23%","7.24%","33.37%","52.79%","148.22%","(6.82)%",
"No","EIH Ltd.","EIHOTEL","SERVICES","133.15","0.45%","0.72%","0.42%","0.01%","0.84%","9.59%","24.73%","26.87%","45.92%","(2.28)%",
"Yes","Bharti Infratel Ltd.","INFRATEL","TELECOM","366.50","0.87%","0.71%","(0.62)%","1.15%","0.56%","5.33%","18.13%","21.76%","30.08%","(11.41)%",
"No","Bliss GVS Pharma Ltd.","BLISSGVS","PHARMA","168.00","(0.74)%","0.69%","(0.23)%","(0.28)%","(0.20)%","0.39%","15.74%","9.38%","112.52%","(10.50)%",
"No","Essel Propack Ltd.","ESSELPACK","INDUSTRIAL MANUFACTURING","260.50","(0.57)%","0.69%","0.64%","1.95%","1.21%","10.62%","12.28%","4.89%","45.45%","(1.57)%",
"No","Apar Industries Ltd.","APARINDS","INDUSTRIAL MANUFACTURING","793.00","(1.94)%","0.68%","1.07%","0.38%","0.14%","1.41%","6.59%","18.13%","70.15%","(10.22)%",
"No","PNC Infratech Ltd.","PNCINFRA","CONSTRUCTION","159.50","(0.72)%","0.68%","0.05%","2.20%","2.49%","24.12%","54.26%","51.11%","76.34%","(5.34)%",
"Yes","Bajaj Auto Ltd.","BAJAJ-AUTO","AUTOMOBILE","2,882.00","(2.06)%","0.66%","0.13%","0.61%","0.29%","1.94%","0.24%","3.77%","21.89%","(7.63)%",
"No","Akzo Nobel India Ltd.","AKZOINDIA","CONSUMER GOODS","1,972.90","(1.47)%","0.62%","(0.65)%","0.62%","0.70%","5.23%","23.23%","31.79%","51.29%","(5.56)%",
"No","Orient Cement Ltd.","ORIENTCEM","CEMENT & CEMENT PRODUCTS","166.95","0.27%","0.61%","0.91%","2.31%","1.43%","16.34%","19.68%","21.86%","45.43%","(28.04)%",
"No","Vardhman Textiles Ltd.","VTL","TEXTILES","1,325.00","0.18%","0.60%","0.08%","0.21%","0.08%","(0.38)%","(3.36)%","1.30%","60.02%","(5.63)%",
"No","Sharda Cropchem Ltd.","SHARDACROP","FERTILISERS & PESTICIDES","512.75","(1.29)%","0.60%","(0.22)%","0.15%","1.04%","4.53%","7.72%","2.55%","94.08%","(5.38)%",
"Yes","Infosys Ltd.","INFY","IT","930.00","(0.82)%","0.59%","0.20%","0.06%","(0.16)%","(5.35)%","(8.72)%","(1.69)%","3.22%","(27.30)%",
"Yes","Info Edge (India) Ltd.","NAUKRI","IT","838.15","(0.80)%","0.59%","1.13%","0.46%","(0.22)%","(0.22)%","1.96%","0.50%","17.97%","(18.23)%",
"No","Rain Industries Ltd","RAIN","CHEMICALS","113.00","(5.79)%","0.58%","2.13%","2.03%","1.02%","8.55%","6.00%","42.32%","275.42%","(7.98)%",
"No","Suven Life Sciences Ltd.","SUVEN","PHARMA","188.20","2.01%","0.58%","(0.76)%","(0.67)%","0.83%","3.98%","11.56%","1.16%","26.31%","(17.09)%",
"No","Coffee Day Enterprises Ltd.","COFFEEDAY","CONSUMER GOODS","250.25","(0.73)%","0.58%","0.17%","0.19%","0.89%","7.87%","7.17%","25.34%","31.57%","(9.58)%",
"No","Punj Lloyd Ltd.","PUNJLLOYD","CONSTRUCTION","22.50","(2.17)%","0.56%","(0.94)%","(0.61)%","0.21%","5.63%","7.40%","4.17%","32.74%","(20.49)%",
"No","UFLEX Ltd.","UFLEX","INDUSTRIAL MANUFACTURING","360.00","(2.78)%","0.56%","4.07%","2.86%","1.74%","21.40%","34.28%","31.63%","109.91%","(5.83)%",
"No","Tata Elxsi Ltd.","TATAELXSI","IT","1,537.00","(1.14)%","0.55%","(0.91)%","0.10%","0.02%","(0.19)%","5.48%","5.71%","50.50%","(20.84)%",
"No","Shree Cement Ltd.","SHREECEM","CEMENT & CEMENT PRODUCTS","19,277.60","(0.83)%","0.54%","1.13%","2.16%","1.15%","10.53%","22.16%","21.59%","57.80%","(2.91)%",
"No","Sanofi India Ltd.","SANOFI","PHARMA","4,175.00","(1.37)%","0.54%","(0.90)%","(1.70)%","(1.40)%","(10.22)%","(2.91)%","1.83%","4.09%","(15.66)%",
"No","PC Jeweller Ltd.","PCJEWELLER","CONSUMER GOODS","432.00","1.01%","0.54%","0.13%","0.33%","0.22%","1.17%","14.07%","14.47%","50.03%","(18.64)%",
"No","Gayatri Projects Ltd.","GAYAPROJ","CONSTRUCTION","158.10","(1.40)%","0.53%","(0.61)%","(0.11)%","0.40%","10.56%","17.11%","(77.64)%","57.78%","(6.84)%",
"No","Anant Raj Ltd.","ANANTRAJ","CONSTRUCTION","61.00","(3.79)%","0.53%","0.46%","0.21%","1.96%","21.51%","26.29%","25.64%","86.83%","(7.99)%",
"No","Vakrangee Ltd.","VAKRANGEE","IT","349.90","1.26%","0.53%","(0.22)%","(0.26)%","0.56%","6.35%","12.80%","15.10%","115.99%","(1.35)%",
"No","RBL Bank Ltd.","RBLBANK","BANK","561.00","(1.82)%","0.52%","0.43%","(0.32)%","0.35%","0.18%","17.73%","42.75%","104.60%","(6.64)%",
"No","Larsen & Toubro Infotech Ltd.","LTI","IT","733.50","3.47%","0.52%","(0.27)%","(0.08)%","0.18%","3.46%","4.56%","7.03%","22.66%","(1.54)%",
"No","Dewan Housing Finance Corporation Ltd.","DHFL","FINANCIAL SERVICES","430.75","(1.66)%","0.52%","0.54%","1.33%","1.57%","12.17%","31.01%","44.64%","135.38%","(5.31)%",
"Yes","Petronet LNG Ltd.","PETRONET","ENERGY","427.00","(1.92)%","0.52%","(0.12)%","(0.65)%","0.14%","4.53%","8.21%","12.75%","70.80%","(6.05)%",
"Yes","Power Finance Corporation Ltd.","PFC","FINANCIAL SERVICES","162.20","(1.34)%","0.51%","0.53%","0.75%","(0.10)%","6.47%","18.18%","22.46%","107.28%","(3.97)%",
"No","BF Utilities Ltd.","BFUTILITIE","CONSTRUCTION","448.10","(3.25)%","0.51%","(0.31)%","0.82%","0.48%","(2.83)%","11.07%","13.88%","26.03%","(30.41)%",
"No","PTC India Fin Serv Ltd.","PFS","FINANCIAL SERVICES","45.35","(3.20)%","0.50%","(0.25)%","(0.42)%","(0.28)%","3.78%","13.94%","7.85%","37.42%","(6.78)%",
"No","Hindustan Unilever Ltd.","HINDUNILVR","CONSUMER GOODS","954.40","(0.24)%","0.50%","0.53%","0.71%","0.30%","3.51%","9.32%","11.38%","22.05%","(0.58)%",
"No","Greenply Industries Ltd.","GREENPLY","CONSUMER GOODS","285.65","0.62%","0.49%","(0.17)%","(0.33)%","(0.34)%","2.46%","(5.41)%","(1.84)%","47.01%","(7.26)%",
"No","Trent Ltd.","TRENT","CONSUMER GOODS","256.45","0.98%","0.49%","(0.79)%","(0.75)%","(0.71)%","(3.95)%","2.93%","(0.02)%","62.31%","(7.28)%",
"Yes","Oil & Natural Gas Corporation Ltd.","ONGC","ENERGY","183.55","(2.83)%","0.49%","1.06%","0.71%","(0.12)%","(1.53)%","(6.35)%","(5.04)%","37.67%","(13.34)%",
"Yes","Oberoi Realty Ltd.","OBEROIRLTY","CONSTRUCTION","403.00","1.65%","0.48%","0.01%","0.42%","1.07%","6.05%","18.84%","22.03%","62.30%","(3.13)%",
"No","ACC Ltd.","ACC","CEMENT & CEMENT PRODUCTS","1,659.00","2.15%","0.47%","0.40%","1.78%","1.15%","12.86%","19.74%","13.78%","32.03%","(4.46)%",
"No","Avanti Feeds Ltd.","AVANTIFEED","CONSUMER GOODS","884.00","0.12%","0.43%","0.32%","(0.46)%","0.22%","9.00%","26.29%","56.86%","113.01%","(2.88)%",
"No","eClerx Services Ltd.","ECLERX","IT","1,300.00","(1.37)%","0.42%","(0.33)%","(0.32)%","(0.65)%","(5.80)%","(1.96)%","(12.93)%","1.96%","(27.15)%",
"Yes","Ratnamani Metals & Tubes Ltd.","RATNAMANI","METALS","809.95","0.82%","0.42%","0.16%","0.42%","0.35%","3.31%","10.08%","19.99%","72.55%","(1.81)%",
"No","AIA Engineering Ltd.","AIAENG","INDUSTRIAL MANUFACTURING","1,531.00","(0.34)%","0.42%","(0.12)%","0.11%","0.10%","(0.66)%","3.44%","10.94%","67.50%","(8.60)%",
"No","HSIL Ltd.","HSIL","CONSUMER GOODS","339.90","(2.22)%","0.40%","(0.15)%","(0.56)%","(0.02)%","(4.00)%","1.06%","19.26%","33.03%","(9.38)%",
"No","Indian Hotels Co. Ltd.","INDHOTEL","SERVICES","129.00","(0.08)%","0.40%","0.41%","0.16%","(0.12)%","(0.19)%","6.04%","12.96%","45.43%","(9.79)%",
"No","Federal-Mogul Goetze (India) Ltd.","FMGOETZE","AUTOMOBILE","602.10","0.69%","0.40%","(0.83)%","(0.34)%","(0.06)%","4.71%","20.42%","22.15%","97.28%","(7.51)%",
"No","Kajaria Ceramics Ltd.","KAJARIACER","CONSTRUCTION","671.00","0.38%","0.40%","(0.09)%","0.25%","(0.12)%","9.11%","18.76%","11.30%","53.42%","(9.57)%",
"Yes","United Breweries Ltd.","UBL","CONSUMER GOODS","777.00","(1.09)%","0.39%","0.70%","0.81%","0.47%","1.46%","(0.64)%","(4.80)%","12.61%","(20.51)%",
"No","Rajesh Exports Ltd.","RAJESHEXPO","CONSUMER GOODS","617.75","(0.11)%","0.38%","0.53%","0.37%","0.38%","2.79%","15.68%","23.06%","46.72%","(1.63)%",
"Yes","Dish TV India Ltd.","DISHTV","MEDIA & ENTERTAINMENT","96.30","0.84%","0.37%","0.11%","(1.01)%","(0.77)%","(3.60)%","(3.36)%","10.06%","26.63%","(13.24)%",
"Yes","Welspun India Ltd.","WELSPUNIND","TEXTILES","94.70","(2.32)%","0.36%","0.61%","0.23%","1.21%","12.87%","9.10%","15.42%","105.65%","(21.02)%",
"No","Omaxe Ltd.","OMAXE","CONSTRUCTION","193.20","(0.74)%","0.35%","0.01%","0.49%","0.99%","11.35%","14.80%","14.42%","32.78%","(10.43)%",
"No","IDFC Ltd.","IDFC","FINANCIAL SERVICES","61.85","(1.12)%","0.33%","1.81%","1.24%","0.55%","7.38%","18.71%","8.13%","48.86%","(13.25)%",
"No","Havells India Ltd.","HAVELLS","CONSUMER GOODS","485.50","(0.52)%","0.33%","(0.28)%","(0.42)%","(0.08)%","2.53%","14.80%","10.57%","60.34%","(2.79)%",
"Yes","Apollo Hospitals Enterprises Ltd.","APOLLOHOSP","HEALTHCARE SERVICES","1,258.00","1.17%","0.32%","1.46%","1.27%","0.65%","8.17%","0.04%","0.63%","13.17%","(12.82)%",
"Yes","ABB India Ltd.","ABB","INDUSTRIAL MANUFACTURING","1,420.00","(0.07)%","0.32%","0.01%","0.14%","(0.36)%","3.33%","17.88%","20.24%","52.47%","(4.31)%",
"Yes","Wipro Ltd.","WIPRO","IT","498.90","(0.21)%","0.31%","0.29%","(0.11)%","(0.11)%","(2.75)%","1.35%","8.75%","22.25%","(13.66)%",
"Yes","Adani Enterprises Ltd.","ADANIENT","SERVICES","113.60","0.18%","0.30%","(6.75)%","(4.88)%","(0.26)%","(3.40)%","16.04%","23.68%","94.69%","(29.31)%",
"Yes","MindTree Ltd.","MINDTREE","IT","496.50","2.03%","0.28%","1.72%","1.95%","1.18%","11.35%","4.07%","9.48%","24.44%","(27.20)%",
"No","ICRA Ltd.","ICRA","FINANCIAL SERVICES","4,180.00","(2.79)%","0.28%","0.08%","0.12%","0.05%","1.36%","(0.10)%","(3.06)%","18.15%","(8.13)%",
"No","Kalpataru Power Transmission Ltd.","KALPATPOWR","ENERGY","353.55","(2.42)%","0.28%","0.52%","0.60%","0.90%","9.46%","24.05%","20.54%","75.02%","(3.40)%",
"No","SJVN Ltd.","SJVN","ENERGY","34.95","0.14%","0.27%","(0.09)%","0.05%","(0.06)%","(0.29)%","8.88%","3.86%","34.68%","(4.51)%",
"No","Take Solutions Ltd.","TAKE","IT","133.95","1.29%","0.27%","0.14%","0.89%","0.05%","(1.51)%","(5.60)%","(1.22)%","10.70%","(29.39)%",
"No","Carborundum Universal Ltd.","CARBORUNIV","INDUSTRIAL MANUFACTURING","292.50","(1.58)%","0.27%","0.04%","(0.09)%","(0.16)%","(1.22)%","13.24%","12.03%","53.87%","(4.82)%",
"No","Karur Vysya Bank Ltd.","KARURVYSYA","BANK","118.35","(1.42)%","0.26%","0.48%","0.05%","0.00%","3.91%","19.85%","33.96%","47.94%","(3.78)%",
"No","Tata Investment Corporation Ltd.","TATAINVEST","FINANCIAL SERVICES","665.05","(1.83)%","0.23%","0.05%","0.49%","(0.09)%","2.63%","3.57%","10.84%","37.07%","(5.13)%",
"No","Blue Star Ltd.","BLUESTARCO","CONSUMER GOODS","680.00","(0.34)%","0.23%","0.17%","(0.23)%","0.03%","2.26%","23.19%","24.77%","69.36%","(6.21)%",
"Yes","CESC Ltd.","CESC","ENERGY","939.80","(1.18)%","0.21%","0.77%","0.95%","1.71%","11.44%","14.85%","15.75%","80.90%","(2.91)%",
"Yes","Dr. Reddy's Laboratories Ltd.","DRREDDY","PHARMA","2,597.25","(0.34)%","0.18%","(0.37)%","(0.04)%","(0.23)%","(2.18)%","(9.02)%","(15.29)%","1.65%","(29.61)%",
"Yes","Jubilant Foodworks Ltd.","JUBLFOOD","CONSUMER GOODS","1,028.00","(0.75)%","0.17%","(0.55)%","0.46%","0.63%","(1.06)%","(2.56)%","2.65%","35.17%","(20.85)%",
"No","Procter & Gamble Hygiene & Health Care Ltd.","PGHH","CONSUMER GOODS","7,400.00","0.01%","0.16%","0.10%","0.11%","(0.01)%","0.68%","6.30%","6.47%","23.31%","(3.09)%",
"No","Gujarat State Petronet Ltd.","GSPL","ENERGY","184.10","0.63%","0.16%","(1.99)%","(0.10)%","1.50%","15.42%","14.63%","9.91%","44.90%","(9.89)%",
"No","Edelweiss Financial Services Ltd.","EDELWEISS","FINANCIAL SERVICES","170.15","1.83%","0.15%","(1.70)%","(0.79)%","(0.30)%","(6.84)%","28.37%","37.33%","200.88%","(8.52)%",
"No","Thomas Cook (India) Ltd.","THOMASCOOK","SERVICES","205.50","0.76%","0.13%","(1.61)%","(1.25)%","(0.86)%","(7.22)%","(3.52)%","6.48%","24.55%","(13.76)%",
"No","Gujarat Pipavav Port Ltd.","GPPL","SERVICES","155.85","(3.35)%","0.12%","0.21%","(0.63)%","(0.43)%","(7.51)%","(1.83)%","(3.50)%","28.80%","(21.21)%",
"No","Tata Sponge Iron Ltd.","TATASPONGE","METALS","827.70","(0.79)%","0.12%","0.07%","0.22%","(0.49)%","14.17%","20.66%","33.72%","70.24%","(8.08)%",
"No","Timken India Ltd.","TIMKEN","INDUSTRIAL MANUFACTURING","727.00","0.43%","0.09%","(0.19)%","0.23%","0.46%","8.13%","20.60%","18.21%","46.81%","(2.81)%",
"No","Godfrey Phillips India Ltd.","GODFRYPHLP","CONSUMER GOODS","1,197.00","(2.38)%","0.09%","0.79%","1.68%","1.45%","4.54%","20.12%","12.61%","49.61%","(22.40)%",
"Yes","IRB Infrastructure Developers Ltd.","IRB","CONSTRUCTION","255.95","(2.99)%","0.07%","1.14%","1.23%","1.01%","7.56%","10.59%","9.71%","44.24%","(6.13)%",
"No","Gulf Oil Lubricants India Ltd.","GULFOILLUB","ENERGY","770.00","0.86%","0.07%","0.19%","0.22%","0.51%","7.69%","11.59%","11.39%","54.12%","(13.66)%",
"Yes","Oil India Ltd.","OIL","ENERGY","321.65","(2.85)%","0.06%","0.12%","(0.06)%","(0.46)%","(3.51)%","(3.68)%","(4.27)%","34.18%","(13.36)%",
"No","Indo Count Industries Ltd.","ICIL","TEXTILES","201.00","(2.97)%","0.06%","1.67%","0.90%","0.60%","3.24%","18.06%","9.60%","48.89%","(6.61)%",
"No","Page Industries Ltd.","PAGEIND","TEXTILES","14,287.00","(1.40)%","0.05%","1.04%","0.60%","0.40%","(0.10)%","(0.64)%","(0.09)%","15.34%","(17.89)%",
"No","Aegis Logistics Ltd.","AEGISCHEM","ENERGY","194.20","(0.18)%","0.04%","0.06%","0.90%","0.64%","0.36%","(1.50)%","10.66%","81.41%","(9.25)%",
"No","Relaxo Footwears Ltd.","RELAXO","CONSUMER GOODS","487.00","(0.13)%","0.02%","(0.14)%","(0.04)%","0.01%","(1.42)%","8.66%","10.06%","39.14%","(7.42)%",
"Yes","HT Media Ltd.","HTMEDIA","MEDIA & ENTERTAINMENT","82.25","(0.30)%","0.02%","(0.31)%","(0.34)%","(0.53)%","(4.36)%","(3.35)%","0.30%","19.38%","(14.77)%",
"No","Alkem Laboratories Ltd.","ALKEM","PHARMA","1,916.90","(2.33)%","0.02%","(0.34)%","(1.63)%","(1.12)%","(12.71)%","(6.25)%","6.14%","62.17%","(20.13)%",
"No","SML Isuzu Ltd.","SMLISUZU","AUTOMOBILE","1,327.00","0.15%","0.01%","(0.50)%","0.35%","0.10%","2.00%","7.49%","7.45%","48.77%","(7.45)%",
"No","Finolex Cables Ltd.","FINCABLES","INDUSTRIAL MANUFACTURING","525.50","(0.37)%","0.00%","(0.50)%","(0.39)%","(0.49)%","1.94%","19.70%","16.08%","98.53%","(8.26)%",
"Yes","UPL Ltd.","UPL","FERTILISERS & PESTICIDES","806.00","(0.67)%","0.00%","0.27%","0.95%","1.56%","10.87%","14.65%","10.64%","64.49%","(6.82)%",
"Yes","Bajaj Finance Ltd.","BAJFINANCE","FINANCIAL SERVICES","1,270.05","(2.04)%","0.00%","(0.98)%","0.81%","0.37%","5.30%","20.61%","19.43%","83.70%","(5.92)%",
"Yes","Engineers India Ltd.","ENGINERSIN","CONSTRUCTION","166.10","(2.21)%","0.00%","(0.32)%","0.24%","1.10%","10.59%","14.55%","10.55%","16.48%","(51.64)%",
"No","Jai Corp Ltd.","JAICORPLTD","INDUSTRIAL MANUFACTURING","86.65","(0.63)%","(0.01)%","0.55%","0.59%","0.66%","10.38%","15.53%","20.01%","65.68%","(6.27)%",
"No","Crompton Greaves Consumer Electricals Ltd.","CROMPTON","CONSUMER GOODS","228.05","2.08%","(0.01)%","0.40%","0.61%","0.69%","6.07%","22.54%","18.34%","82.44%","(4.54)%",
"No","KPIT Technologies Ltd.","KPIT","IT","128.30","(1.46)%","(0.01)%","(0.05)%","0.23%","0.14%","(1.31)%","(5.03)%","(2.80)%","5.99%","(34.82)%",
"No","Future Consumer Ltd.","FCONSUMER","CONSUMER GOODS","32.05","(3.03)%","(0.02)%","(0.99)%","(0.60)%","0.07%","(7.50)%","7.37%","23.51%","77.56%","(10.60)%",
"No","Inox Wind Ltd.","INOXWIND","INDUSTRIAL MANUFACTURING","197.80","(0.95)%","(0.02)%","0.45%","(0.67)%","0.88%","6.63%","17.42%","7.03%","21.35%","(32.95)%",
"Yes","Tata Global Beverages Ltd.","TATAGLOBAL","CONSUMER GOODS","152.00","(2.16)%","(0.02)%","0.53%","0.41%","0.32%","1.33%","6.74%","7.12%","33.04%","(5.85)%",
"No","Va Tech Wabag Ltd.","WABAG","SERVICES","673.05","(0.26)%","(0.03)%","(0.60)%","(0.36)%","0.59%","(0.73)%","18.69%","37.36%","49.58%","(8.66)%",
"No","VRL Logistics Ltd.","VRLLOG","SERVICES","327.00","(2.75)%","(0.03)%","(1.06)%","(0.43)%","0.13%","(4.39)%","12.55%","6.12%","45.33%","(21.17)%",
"No","Eveready Industries India Ltd.","EVEREADY","CONSUMER GOODS","304.35","0.81%","(0.04)%","(0.11)%","0.07%","0.80%","8.25%","28.42%","22.08%","52.52%","(3.38)%",
"No","Gujarat Alkalies & Chemicals Ltd.","GUJALKALI","CHEMICALS","458.70","(1.12)%","(0.05)%","(0.72)%","1.18%","1.23%","6.25%","22.98%","21.69%","158.93%","(5.24)%",
"Yes","GAIL (India) Ltd.","GAIL","ENERGY","417.35","(2.65)%","(0.05)%","0.90%","1.25%","1.30%","7.70%","(20.60)%","(12.51)%","55.54%","(3.77)%",
"No","Zydus Wellness Ltd.","ZYDUSWELL","CONSUMER GOODS","865.00","(0.28)%","(0.05)%","","0.02%","(0.05)%","","1.76%","0.58%","23.40%","(6.79)%",
"No","Radico Khaitan Ltd","RADICO","CONSUMER GOODS","121.00","(0.74)%","(0.07)%","(0.66)%","1.33%","1.41%","(2.54)%","(6.46)%","(5.47)%","44.82%","(19.55)%",
"No","Ajanta Pharmaceuticals Ltd.","AJANTPHARM","PHARMA","1,632.00","(0.60)%","(0.08)%","(0.02)%","(1.16)%","(1.02)%","(4.85)%","(4.39)%","(6.73)%","16.63%","(23.20)%",
"Yes","Axis Bank Ltd.","AXISBANK","BANK","503.40","(2.98)%","(0.09)%","(0.45)%","0.94%","0.03%","(0.24)%","(1.68)%","2.43%","18.61%","(21.13)%",
"Yes","Sun Pharma Advanced Research Company Ltd.","SPARC","PHARMA","314.00","(2.17)%","(0.09)%","(0.63)%","(0.56)%","(0.81)%","(8.37)%","(6.00)%","(0.73)%","16.30%","(24.32)%",
"No","IDFC Bank Ltd.","IDFCBANK","BANK","64.80","(1.67)%","(0.10)%","2.78%","1.94%","0.92%","7.55%","7.02%","2.61%","47.27%","(22.30)%",
"No","Pfizer Ltd.","PFIZER","PHARMA","1,725.00","(0.31)%","(0.10)%","(1.29)%","(1.16)%","(1.21)%","(5.92)%","(0.64)%","(2.27)%","4.13%","(15.83)%",
"Yes","Indiabulls Real Estate Ltd.","IBREALEST","CONSTRUCTION","151.40","(2.73)%","(0.12)%","(0.21)%","2.24%","3.62%","70.88%","88.19%","92.87%","165.61%","(7.80)%",
"No","Triveni Turbine Ltd.","TRITURBINE","INDUSTRIAL MANUFACTURING","137.75","0.55%","(0.13)%","(0.48)%","0.09%","(0.05)%","(1.33)%","12.36%","9.72%","31.19%","(6.93)%",
"Yes","Eicher Motors Ltd.","EICHERMOT","AUTOMOBILE","25,819.90","0.22%","(0.13)%","(0.23)%","0.40%","(0.06)%","0.19%","11.41%","8.59%","43.44%","(3.47)%",
"No","Greaves Cotton Ltd.","GREAVESCOT","INDUSTRIAL MANUFACTURING","165.00","(5.04)%","(0.13)%","0.34%","0.27%","0.35%","(0.66)%","3.77%","17.77%","43.04%","(7.59)%",
"No","Bajaj Electricals Ltd","BAJAJELEC","CONSUMER GOODS","348.50","(0.84)%","(0.13)%","0.20%","(0.16)%","(0.02)%","1.57%","27.61%","38.84%","72.52%","(10.04)%",
"No","Caplin Point Laboratories Ltd.","CAPLIPOINT","PHARMA","388.90","(0.03)%","(0.15)%","(0.02)%","(0.61)%","0.10%","(0.78)%","(0.79)%","(13.19)%","111.36%","(15.45)%",
"Yes","NMDC Ltd.","NMDC","METALS","123.80","(3.36)%","(0.15)%","(0.85)%","0.15%","(0.46)%","(8.19)%","(15.78)%","(15.61)%","45.31%","(18.77)%",
"Yes","Reliance Infrastructure Ltd.","RELINFRA","ENERGY","578.95","(3.14)%","(0.15)%","0.72%","0.82%","0.75%","2.80%","0.18%","10.15%","35.70%","(8.93)%",
"No","Johnson Controls - Hitachi Air Conditioning India Ltd.","JCHAC","CONSUMER GOODS","1,750.00","(1.65)%","(0.15)%","(0.37)%","(0.18)%","(0.53)%","(3.31)%","16.67%","24.33%","52.95%","(7.40)%",
"No","J.Kumar Infraprojects Ltd.","JKIL","CONSTRUCTION","284.90","(0.99)%","(0.16)%","1.86%","1.40%","1.55%","15.58%","23.87%","23.33%","170.30%","(3.59)%",
"No","Nilkamal Ltd.","NILKAMAL","INDUSTRIAL MANUFACTURING","2,182.55","(0.61)%","(0.16)%","0.73%","2.04%","1.51%","9.79%","12.62%","29.99%","102.02%","(3.36)%",
"Yes","Kotak Mahindra Bank Ltd.","KOTAKBANK","BANK","907.50","0.23%","(0.17)%","0.52%","0.69%","0.47%","3.95%","11.06%","17.28%","31.05%","(1.57)%",
"No","Dhanuka Agritech Ltd.","DHANUKA","FERTILISERS & PESTICIDES","876.00","(2.34)%","(0.17)%","0.32%","0.87%","1.42%","13.62%","13.00%","18.63%","58.35%","(5.79)%",
"No","Videocon Industries Ltd.","VIDEOIND","CONSUMER GOODS","103.15","(0.34)%","(0.18)%","(0.04)%","0.00%","(0.01)%","(0.58)%","0.34%","(0.63)%","8.64%","(10.30)%",
"Yes","Castrol India Ltd.","CASTROLIND","ENERGY","435.50","0.35%","(0.18)%","(0.42)%","0.42%","0.26%","2.72%","6.22%","4.64%","23.30%","(12.07)%",
"No","Symphony Ltd.","SYMPHONY","CONSUMER GOODS","1,418.50","(2.76)%","(0.19)%","(0.31)%","(0.75)%","(0.52)%","(6.00)%","7.46%","8.78%","32.44%","(9.65)%",
"No","Bombay Dyeing & Manufacturing Co. Ltd.","BOMDYEING","TEXTILES","84.40","(1.52)%","(0.19)%","(1.07)%","0.42%","0.82%","2.86%","38.13%","42.93%","102.88%","(8.66)%",
"No","J.B. Chemicals & Pharmaceuticals Ltd.","JBCHEPHARM","PHARMA","329.00","(0.89)%","(0.19)%","0.05%","(0.24)%","(0.15)%","(6.27)%","0.37%","(5.47)%","42.24%","(18.54)%",
